date,Unemployment,no.articles_Unemployment,Mental_health,no.articles_Mental_health,Wellbeing
2015-11-30,-0.7665753740887867,147,-2.032212473856816,1108,-2.070959070806741
2015-12-31,-2.0905483335732,195,-1.9515151755793,1387,-2.053005315050657
2016-01-31,-1.5249508976166388,231,-2.306437338547715,1396,-2.5084881664993044
2016-02-29,-1.3177037586545637,273,-2.1779023785389846,1666,-2.2933884057221823
2016-03-31,-0.9447392237805672,335,-2.0247526015097908,1619,-2.041931000610893
2016-04-30,-1.2739296092449166,232,-2.2132517202397874,1612,-2.2257866957614985
2016-05-31,-0.8857043300482323,161,-1.191755094757037,1477,-1.3127956101284528
2016-06-30,-1.1424518447565573,130,-1.6297506678939306,1187,-1.7803358745633096
2016-07-31,-1.3186620497515402,123,-1.4761789376124723,750,-1.4595648195635351
2016-08-31,-1.5959176029905495,142,-1.4646813421526406,893,-1.4782693289049478
2016-09-30,-1.2561536787498475,154,-1.0424457771085964,988,-1.1888832343715257
2016-10-31,-0.8693856853117984,168,-1.060047720759848,1248,-1.228243219374056
2016-11-30,-1.14493226971456,210,-1.2901614472638216,1118,-1.342990103987404
2016-12-31,-0.8788425749699144,249,-1.3011870259167977,1468,-1.6683271716877512
2017-01-31,-1.21333018728864,165,-2.174282090557166,1649,-2.437964878127901
2017-02-28,-1.3275559350283066,159,-1.786480896945398,1211,-1.927294676470648
2017-03-31,-0.9904108106736864,216,-1.710455384159841,1647,-1.873087968550496
2017-04-30,-0.8938530415015833,188,-1.4880776334966692,1558,-1.6280501935339526
2017-05-31,-1.1908519259522328,183,-1.2980765726190182,1657,-1.3976263850619912
2017-06-30,-0.701574836798699,141,-1.933662173197873,1515,-2.1277542016975968
2017-07-31,-0.9164979213187814,98,-2.2471892307322103,1117,-2.3533680444431315
2017-08-31,-1.004645651038541,222,-1.7245063796461844,1691,-1.8469291831278147
2017-09-30,-1.4918584269732829,173,-1.4750982251570994,1735,-1.5605980673189477
2017-10-31,-0.684014366127885,237,-1.6001611835953646,2022,-1.6993870446817738
2017-11-30,-0.9330929065380024,197,-1.3666655047191072,2025,-1.4567834934377892
2017-12-31,-1.2692269717256188,222,-1.1831856805713383,1821,-1.3224257696108872
2018-01-31,-0.904899608564492,332,-1.630941392932601,1736,-1.739281598120999
2018-02-28,-1.141443939267808,170,-1.1763562120006443,1633,-1.2873315744482634
2018-03-31,-0.9187299636029894,210,-1.256275487833855,2333,-1.3679126435709714
2018-04-30,-0.8456963927114922,206,-1.7957552739347695,2239,-1.9742220671440944
2018-05-31,-0.7104199340966996,324,-1.3988132357937384,2809,-1.501969290383478
2018-06-30,-1.3886307504671689,297,-1.6340838397716242,2530,-1.8044726917252345
2018-07-31,-2.131978560803839,322,-2.0115133028925603,2383,-2.155943701507605
2018-08-31,-0.7716496390078584,272,-2.123934491686648,2615,-2.16553598905859
2018-09-30,-1.2579585228877683,190,-2.0534175072615484,2167,-2.1807435139968003
2018-10-31,-1.2518741943896865,191,-1.5103486309363754,1919,-1.6408144697582938
2018-11-30,-1.347771825294736,259,-1.797621073759381,2251,-1.9473406648858944
2018-12-31,-1.5820052121897767,272,-1.5644036220246045,1892,-1.6998266579660188
2019-01-31,-1.6472323684799006,259,-1.8246323100875057,2128,-1.9496251349602955
2019-02-28,-1.0217088662510456,241,-1.997718938880616,1995,-2.119156108372468
2019-03-31,-0.7980216172855003,278,-2.007648385893389,2030,-2.073600024805545
2019-04-30,-1.2678953429555984,244,-1.8517250826877203,2246,-1.9996100066102784
2019-05-31,-1.03040735207302,207,-1.6512398250183886,1847,-1.9026550835671288
2019-06-30,-1.1831668465068037,234,-1.751756928501511,2054,-1.8983292620560928
2019-07-31,-1.054785698228687,225,-2.034516823230086,2155,-2.1140530753505526
2019-08-31,-1.8966109192451857,303,-2.211014443095286,2277,-2.294020347237667
2019-09-30,-1.5172094766372275,318,-2.018469457529348,2391,-2.2763677916995544
2019-10-31,-1.230769611474033,328,-1.9431764356947507,2372,-2.088825010950601
2019-11-30,-1.5887778978795868,178,-2.408323744088226,2345,-2.6079841583877297
2019-12-31,-1.8909232378641825,212,-2.367808729371028,1986,-2.437056659849134
2020-01-31,-0.8734335156920493,202,-2.362253589418617,2372,-2.5374729755891225
2020-02-29,-1.969507127887712,230,-2.2173162841224263,2234,-2.301238685416491
2020-03-31,-2.029763260856347,466,-1.8460414872713045,5357,-1.869147500993776
